gene,WD_t0_KO_VS_wWD_t0_wt_FC
Antxr2,0.883587630279547
Nrap,5.0352413461134296
C1qc,1.39995833425036
Snai1,1.6869091954555901
Col1a1,1.6067001224726
Pcdhac2,2.75820443436902
Scara5,1.9868482337983
Abca8b,1.26951643207055
Ppl,1.53126703250024
Cd300lb,1.9645892514293501
Zfp521,1.3301835995987
Csf3r,1.71994258170248
Mgat5,1.43018458076743
Serpinf1,1.50045426341438
Igfbp6,1.4919705510567
Ly9,2.22632984802926
Ttyh3,0.979726612282075
Spock2,2.82744582841829
Tro,1.5936187862365099
Hsp90aa1,-1.3276396284368799
Igdcc4,1.5961898574003202
Prex1,1.17541285750646
Hck,2.0299588818842103
Col4a4,1.84892747332012
Plxna3,1.2409532695945702
Arrb1,0.893143248020952
Uqcrh,-1.04985204614984
Clip4,1.1952192183006
Mrpl35,-0.812333139969471
Ptch1,1.0813106178162
Rnase4,0.9835265462957479
Sgk1,-1.0672431535382199
Lama2,1.72471543357027
Ffar4,-2.38570916559307
Kank3,-0.959690087093001
Cd300c2,1.75365651007125
Tmem181b-ps,-0.773641137515705
Cd300ld3,7.08337972238212
Vwa3a,-1.55393552767999
Trappc4,-0.821576144771852
Als2cl,-0.8829397864443609
AB124611,1.50408221403095
Pou2f2,2.87406360003213
Rassf8,0.970105922263566
Ppp1r15b,-0.87424927448953
Lrrc25,1.92735907515172
Cd300a,0.99329634942562
Fzd1,0.9573284408658859
Olfml3,1.6986527272909298
Mcts1,-0.9141396274325619
Man1a,1.43312957808669
Slc38a4,1.7428869140507002
Itga2,2.70152266551188
Olfml2a,1.56420729054326
Cd68,1.78400461683411
Gldn,1.1211590060543501
Tmem254b,0.8643998815788292
Col12a1,1.1556003869048102
Tpbg,1.98283366938193
Kcnn3,2.32483167295167
Tifab,1.44664660958012
Clec3b,1.22444723164648
Mir6240,-1.36535746784262
Clec7a,2.1021426672632804
Tmem176a,1.72125362591192
Lyz2,1.64188179745512
Adora2a,-1.38912388065701
Igsf6,1.59175084450875
Selp,2.0618119424754
Ssc5d,1.24026248112914
Lrp4,1.94589321095727
Uap1l1,1.0618464937026402
Sema3b,0.9576022586586981
Sdf2l1,1.3456955855313701
Chchd4,-0.948668925618255
Slc29a3,0.986062623694622
Ptprf,1.5213866118676902
Ncf1,1.1330895747490701
Lpcat2,1.7819613792567
Csf2rb2,1.61278080738835
Wdr73,-0.9827217245920992
Gpr137b-ps,0.946056383795763
Igfbp4,1.6397191265164
Trerf1,1.12047623754139
Man2b2,1.4485942719378702
Chordc1,-1.03382366615663
Orai2,1.7294134497046998
Mtcl1,2.36283603823769
Cpz,1.6156840341914198
Cc2d2a,0.8745980889192471
Spon1,1.5608563992321598
Nudt14,-1.59068594192071
Gm8580,3.63903159474161
S1pr2,1.26856555367539
Cfb,1.8301468127150802
Dio2,-2.04195160371218
Shisa5,0.8287347075340229
Tlr9,2.8595020616336604
Steap3,0.9035801705354929
Man1c1,1.23165360439185
Galnt15,1.13723398285802
Abcg1,1.2231741172471102
Qpct,1.2658282883803798
Rab11fip4,2.98128463430346
Myoc,1.76833573416954
Itgam,1.8062687470699799
Tlr2,1.3891326556334298
Unc93b1,1.21482155180373
Ces2g,1.19200719197632
Abi3bp,1.0560826332964
Atp6v0e2,1.83250008935835
C1s1,1.02590016386447
Fxyd6,2.04068618885158
Fbln2,1.24427081506675
Xpnpep2,2.17782899606354
Vmn2r29,-2.1185008446183
Abcc3,2.0974987795628404
Gas1,1.05277042137371
Tmem108,3.26126474974782
Wnt2b,2.08729386558251
1810011O10Rik,-1.37076015718004
Gpr4,-1.15620094098814
Enpp3,1.7180641542636899
