gene,WD_t1_KO_VS_WD_t1_DKO_FC
Spryd3,-0.712268896597828
Rap2a,-1.10820488236711
Itgax,-4.24338431990561
Tgif1,-1.58110858022146
Fstl1,-1.47055192876674
Usp2,1.33221526847202
Mrps24,0.756163129952965
Tanc2,-1.10291988380921
Gpihbp1,1.49219509717767
Il1rn,-3.4124623954444107
Wdr91,-1.15344756063783
B3gnt2,-0.792445311867268
Loxl2,-1.8297450886900601
Lrpap1,-0.9476418365680871
Abca1,-1.1341616670378702
Card14,-2.13355249996086
Hecw2,1.46231930322263
Ccl3,-2.74044164723691
9530053A07Rik,4.46397553972544
Iqgap1,-1.40520482836152
Lbh,-0.93186771680362
Apoa1,4.0946301195674
Pip4k2a,-1.00043002876901
Hmox1,-2.1046896025878103
Serpinb6a,-1.31666670000482
Tnfsfm13,-1.13468044716348
H2-M9,2.08300928840512
Mmp13,-3.5236622941272904
Cd63,-2.1189661255635404
Kif26b,-2.9369841364079
Ubash3b,-2.0057473757398903
Nckap1l,-2.09443426481887
Tgfb2,-2.3188265481167902
Creb3l1,-1.20784642276549
Gpnmb,-4.71821772415192
Cacna1d,-1.5128898122543502
Abl2,-0.738490321718952
Ptrh1,-1.4878451990217798
Nupr1,-1.79534045700228
Dpep2,-3.17809920050538
Ibsp,-3.00837675377972
Dtx1,1.3999485054439802
Spcs2,-0.7743984553744909
Man2b1,-1.5128543270922301
Tg,-8.210105436995981
Col16a1,-1.05453634550017
Ildr2,-0.9902205388789721
Wbp5,-1.1813186353542
Dact2,1.22724426733508
Ucp2,-0.97023151672134
Mybpc2,3.33410924662252
Wdr1,-0.9332361629021999
Hvcn1,-1.49158413586568
Nras,-0.722784747190732
B3gnt9,-1.4605661487838602
Dram1,-0.8724843219065009
Ncf4,-1.38498296733015
Fmn1,-2.44712255984694
Slc8b1,-0.9894398541254109
Ifngr2,-1.16072256060888
Dlg3,-0.816063752049645
Snx1,-0.899374342909396
Msn,-0.894559965799153
Cyp4b1,1.33327449039425
P2ry6,-1.76469370094315
Rasgrp3,1.0953445442717902
Cacng6,5.26035387278775
Unc5b,-0.8777046108394421
Cyp2d22,0.758195744506299
B3gnt7,-2.8640152092411806
Sh3bp2,-1.91148499129799
Pwwp2b,-0.949484553464552
Dnase2a,-1.58132622063701
Cemip,-5.123407772222059
Rell1,-1.20547511089062
Iglv2,4.27563829573028
Lgmn,-2.58533907450315
Plp2,-0.890892170591097
Thbs2,-1.74584893621974
Tmsb4x,-1.01348708461005
Naglu,-1.66763446624883
Esd,-0.9746317679393721
Dtx4,-1.05698088037892
Tnfaip8l2,-1.50872876875185
Tmem165,-0.9542001606230172
Itm2c,-1.0492282874282
Galnt6,-2.8476311031696
Sfrp1,-1.3745966601167
Id2,-1.08016379621968
L3hypdh,0.993029826429057
Nptx2,-2.23070580158759
Hk3,-3.75804877540344
Slc1a1,1.51405637976452
Sec16b,-0.942544136211427
Fgr,-2.07191689718363
Ttyh2,-1.71002775025991
Socs3,-1.4982208118261298
Mdk,-1.28253633388973
Igsf8,-1.1650212233710302
Ptchd1,-1.7820763403508701
Hmga1,-0.722208336225385
Rgag4,-1.3116761494023899
S100a11,-0.771457746781036
Clec12a,-2.19112529483742
Fat1,-1.43553456307301
Bckdhb,1.4681311863906001
Nfam1,-1.23703121976383
Ighv5-4,5.57163396090588
Pamr1,-1.21017627481333
Fam214a,0.9265218487249219
Mettl20,1.3340948609821202
Ppm1h,-1.1796153954447899
Adgre1,-1.80734397657798
Tyrobp,-2.4126139826198303
Lhfpl2,-3.38149573195082
Cd300lf,-2.5735570213446497
Rhov,-4.21797648888739
Cyp4v3,-0.744736377204343
1500015O10Rik,-2.01429138125787
Prss46,-4.57171224510363
Nagk,-1.0231905529101801
Syk,-1.29708212724253
Cdca7l,-2.01434494351152
Csf2rb,-1.36964018741537
St18,-3.7981519035395004
Cntfr,1.4618752109541202
Ecm1,-1.3331905315827
Trpv2,-1.3089532581468701
Pilra,-1.6255953219683603
Sulf1,-1.5095658574179598
Gimap4,1.3338515478514401
Anxa8,-3.18394775668369
Inhbb,-1.19427427647866
Ccdc109b,-1.50271350366501
Hmgn3,-1.00559102607487
Cfl1,-1.09275574767334
Mcf2l,1.43220839326706
Myo1f,-2.1426119921672
Apba3,0.8672100609883441
Runx1,-1.8472760334081701
Atp6v1b2,-1.36067436980874
Vsir,-1.3506332787868702
Cd276,-3.1206895904975
Snta1,0.8815646290644591
Notch4,0.995841461982097
Cd180,-2.5437679497821604
Clec4n,-2.09125713263334
Bola3,1.14113279149242
Lyve1,1.1855039555798
Edn1,-1.14115853666572
Mmp19,-1.7540499992468301
Mafb,-1.37132658736445
Bace1,-0.861047422874684
Sbno2,-0.91538713768928
Slco2a1,-1.52874639346629
Tob2,1.06375318397794
Cdh11,-1.5165863520016298
Cndp2,-1.96721849134037
Sox4,-1.4008871177274098
Rab8b,-1.3502154667853001
Csf2ra,-1.7810358228777299
Chst2,-1.3848182908112299
Fam126b,1.14719044277912
Slc25a22,0.79735149072373
Prr13,-1.07490176816466
Fermt3,-1.3698453307037
Zfp90,-1.1304315956488897
Fcgr1,-2.18139638106225
Slurp1,-3.65556462649813
Ccdc85a,1.04260555723045
St6galnac2,0.9121678453872859
Fam65b,1.86299373248377
F2r,-1.3016858301771201
Pltp,-1.74137761229504
Car4,1.41804078743775
Fes,-0.823844115473125
Unc45b,1.13449309622939
Cyr61,-2.0771315110562103
Cdk20,-1.86948501377605
Lrp1,-1.1059053266512
Nckap5l,-1.0246254218073199
Rrbp1,-1.0569345866591702
Ndufc1,1.0496293039768
Shank3,1.055043925733
Pnpla7,-0.8958322241883739
Angptl2,-1.18164649552006
Actr2,-0.8829223011032321
Cdc34,0.836213601038328
Prcp,-0.9898618703739069
Fndc3b,-1.0875634897147601
Sat1,-1.01640847505126
Rasgef1b,-2.17837515716029
Golt1b,-0.7874595526756999
Sdc2,-0.831361151744045
Ppip5k1,0.867344212155595
Col3a1,-1.9227977191369199
Pfkfb4,-1.05858966823474
Vmp1,-0.873826808668005
Rbp7,1.87827309010519
Slc6a8,-1.72756914435476
Kirrel,-0.953184871961382
Pde1b,-1.3774585227102603
Frmd4b,-1.04452536130668
Mtpn,-0.834114236096345
Srd5a3,-1.03514856952536
Ap1s2,-1.1679655241642501
Map3k6,1.13879374900297
Mknk2,0.978834369613114
Ptgr1,-1.17752392836206
Il7r,-2.69526855620777
Gba,-1.0004441561269801
Galnt7,-1.4090027357216102
Atp13a2,-1.33398021783083
Myo5a,-0.92454329163673
Capg,-2.3112710230691804
Pik3r5,-2.1581452663155902
Tuba1c,-1.54030095547792
Scx,-2.08416253025704
Slc9a3r2,0.908656638172746
Lilr4b,-3.59260128927867
Tdrp,1.3004273139789098
P2rx4,-1.4623325748000602
Tnfrsf11a,-1.3104029533628898
Arrb2,-1.16521316679575
Sypl2,2.5519464252535697
Ctsz,-0.871946068131523
Aldh18a1,-1.16789360287422
Wif1,-2.16352609309286
Moxd1,-2.1811456775491003
Ctgf,-1.7674828101326299
Ssh3,-1.01591815680573
Zfand2a,-1.1810408521371398
1190005I06Rik,1.44009046465128
E2f1,-1.09418344463784
Etv5,-1.04742910300198
Tram1,-0.8484192975609821
Vldlr,0.933251569350961
Npc1,-1.19268503346955
Spsb4,-3.22352029036596
Col5a2,-2.29341395496394
Gimap7,2.45170700792255
Fam214b,-0.772365803500877
S100a4,-2.75667191089315
Tgfbr1,-1.39267528752316
Tns3,-1.4203157625583798
Mfsd7b,-1.3020058502571201
Dnase1l1,-1.6176699685054199
Atp6ap1,-0.895939892900033
Plpp6,0.958676606236132
Endog,1.10744417089625
Olr1,-2.4263543446841203
Vat1,-1.7824791052691902
Lilrb4a,-3.4562055146486497
Blnk,-1.77566387130203
Ncf2,-2.03934814220018
Prkd2,0.7396147059825892
Degs1,-0.7246387968672959
Cd5l,-5.9048030938574305
Tmem144,-2.1861164723536297
Perm1,1.66692637371617
Pqlc1,-1.2223430458638302
Vcam1,-2.45508116449586
St6galnac4,-1.71153623055662
Glmp,-0.7551451339137879
Cstb,-1.39003566106839
Tpm4,-1.0293754519702198
Irf5,-1.38033987528283
Pitx3,3.53700287216207
Mxra8,-1.10398572323638
Mmp14,-2.2670056864889903
Rhog,-0.842186406868505
Asb5,2.04157288211993
Gab2,-0.8173539590165191
Myof,-1.9938191522288502
Igf2,0.93898279889325
Tnfaip3,-1.07367857778456
Vegfb,0.885624956344952
Slc11a1,-2.17865321434686
Ybx2,1.68831651442858
Ctps,-1.02151081085551
Rap1b,-0.7463898913423871
Gcnt1,-1.12807827086996
Chsy1,-1.2575490243040401
Tfec,-2.3872195280784396
Rab7b,-2.55089405625454
Cnrip1,-1.49606854283277
Hif1a,-0.83005543451832
Psap,-1.7212907960940302
Adam8,-3.3667239171695096
Gm13139,-1.1915016045995501
Ctsc,-1.11884554412725
Csf1r,-0.877498287932429
Fcgr2b,-1.5042301826375
Fcrls,-1.9947206504054498
Lrp12,-2.2797551274356698
Bdnf,-2.3517176313862995
Arhgap22,-1.82640902951134
P4hb,-1.09992083386804
Fam26e,-1.1700728112027299
Flt4,0.991337279309378
Mcoln2,-2.3903251618137897
Bri3,0.760455022723915
Ctsd,-1.97726402208954
Slc38a3,2.04320320761189
Dse,-1.0772542406560899
Spp1,-4.9065634599645005
Mlh1,-1.78108112660312
Emb,-1.29152722284509
Elmo1,-0.827302086325894
Il10ra,-1.78823139067507
Ankrd13b,-0.948908455802736
Apobr,-1.5110823415570802
Gpr176,-2.8919452417466496
Hspa12b,0.756076836884052
Pde2a,0.8904543465955229
Armcx4,-1.5370954189298898
Eif4ebp2,0.831309945133895
Fuca2,-1.83371455017328
Lat2,-2.79807181212268
Fmo1,1.0675539226550101
Rbpms2,0.796713915896646
Cfi,-3.4801271300627
Gpx1,-0.7782636451337328
Col1a2,-1.6150460495898402
Arpc5,-1.10711052383625
Prokr1,-2.08057320061924
Tmed9,-0.7700778262874691
Tlr8,-1.87631134235709
Ebf1,0.7411712745482231
Igkv6-32,5.41927960003409
Pstpip1,-2.7510158351488596
Sh2d3c,0.8761899940756899
Fam107a,1.74734041349235
Bcl2l11,-1.47837500250185
Cyyr1,1.30489732665672
Manba,-1.21604566206145
Tnfrsf26,-2.40622106493366
Ganc,0.9187983139242449
Cd200r4,-3.5124040963587304
Actr3,-0.8144449832339741
Pcsk6,0.9795288031578259
Sirpa,-2.41626813771308
Frmd4a,-0.7800105032246031
Acvr1b,-0.8768975542943759
Hexb,-2.23936781820509
Parp8,-0.822381632479941
Ighv2-2,4.42507055959992
Galnt12,-2.02756103395848
Lepr,1.07094629884302
Fam105a,-2.04521295556104
Plaur,-1.3812356682028402
Spi1,-1.74453863985248
