gene,WD_t1_KO_VS_WD_t1_wt_FC
Pnck,-1.8422273309049402
Syne1,-0.8110766681987
Hdac9,-1.74340891962369
Glul,1.6792852044471598
Fcrl1,3.13909118732201
Lfng,1.25969805219426
Rin3,1.2278712045308102
Dpy19l3,-1.11741821289732
Aim1,1.05051813837911
Emc8-1190005i06rik,4.91167557171309
Ctsz,0.9781340455344641
Wif1,-3.29276621081481
Tmem47,-1.56376281058074
Flcn,0.93045439892372
Zfyve28,-1.3127049793034298
Btk,1.60076741679847
Zfhx3,-0.804063361481307
Prkg1,-1.26123463624918
Pde5a,-1.5638461198126998
Tgfb3,-1.0577263809348199
Syt15,-1.4549448380135
Gimap7,2.82340697957413
Tgfbr1,-0.8961474227506021
Tead4,1.59535190765136
Klf2,1.17729564581303
Rab17,-2.6997552544002796
Itpr3,0.8263137959738791
Gpsm2,-1.9998095625568202
Ms4a6b,1.70099287214201
Zfp704,-0.924155893779331
Hey1,1.11226095606595
Gja6,-2.50811925251796
Pak6,-1.64489099400417
Blnk,1.78973127022129
Ncf2,1.16065105884652
Ecm2,-1.3252073645851499
Car5b,1.29021919879802
B3gnt3,1.4960736593267199
Bsg,0.8350741913557079
Zfp651,-0.980846248939578
H2-D1,0.936978651155663
Slc22a23,1.4316068344042199
Fam135a,-0.784805608143383
Unc5c,-2.37420089085877
Irf5,1.51873585650342
Pitx3,2.6504939614854397
Tacc2,-1.08755258600038
Baz1a,1.30851193576262
Oasl1,2.07396660009426
Ifi205,2.3496382952659505
Mylk,-1.4161577866983401
Sh3bgrl,-0.840414017692148
Cbx6,-0.8754358672254351
Slc11a1,1.0572664196619999
Fads1,-0.8457157486084109
Flna,-1.55885532332344
Cav3,-1.2896501257514499
Chsy1,-0.9113435280867099
Clmp,-1.37627142113594
Igkv4-59,7.28112252358265
Dntt,-6.76760447638279
Adam8,2.20365350071117
Rbfox2,-0.807990120179476
Mir8114,10.4974654389281
H2-Eb1,1.8454390877804399
Grrp1,2.5493793105467404
Csf1r,0.9300044202510479
Fcgr2b,1.56353179885495
Kcnmb1,-1.7521420860501102
Fam26e,-1.4841302397938303
Fam118a,-1.0933007234747
H2-K1,0.9712341780015029
Flt4,1.3752168130410098
Cnnm2,1.2101425808050301
Itga9,-1.63462213565533
Baiap2,0.976613200895535
Mlh1,-2.06799195430002
Emb,-1.3197497879749098
Nt5c3b,-0.877253481119766
Mmrn2,0.9321438017259699
Il10ra,1.3856747501637199
Igkv3-5,4.78526141142233
Kctd15,0.860761745273158
Bcl3,1.5069480263611799
Apobr,1.13129651364249
Prdm16,-0.932287374132135
Ift81,-0.9382991112051179
Hspa12b,0.8882607076025891
Pde2a,1.12611889217238
H2-DMb1,1.2805818313827702
Endou,-3.30681999359048
Eif4ebp2,0.8962643737955921
Rock1,-1.2647469573343302
Fgd3,1.75183196835147
Dll4,1.61271056041146
Efnb1,1.20712414464406
Adam12,1.72166400531489
Tlr8,1.5291413309365902
Lipg,3.2028653332780097
Mark1,-1.2228955066273501
Csrp2,-1.50316034073387
Pdgfb,1.02981618053194
Bmpr1a,-1.21993212817248
Nfatc1,0.731911982441427
Sh2d3c,1.53047431554508
Dcbld1,1.57091514937379
Orm3,2.19983197067081
Cyyr1,1.38942851490009
Sema5a,-1.6194504475706202
Ndp,-2.20042756573516
Camkk1,-1.15815065512159
Fgf1,-1.0929000621535
Myh11,-1.7069446237058201
Ccr1,1.75347172663254
Fgfr2,-1.59307437363383
Cd300lg,1.2168269922652901
Tnfrsf13c,3.46674663442819
Osbpl3,-1.54904479268107
Cyp1a1,4.29104518303626
Cbx5,-0.750786985581971
Unc5d,-2.72133709099872
Bbs4,-1.13347016538561
Podxl,1.02975804217926
Gda,1.1563216026446599
Stat1,0.9432261890226451
Fam19a1,-2.4709954175267
Spi1,1.69230355932637
Klc3,-2.16195627981981
Eif4ebp1,1.0180906765639999
Il6ra,1.5076003438821999
Hey2,-1.5428498158914798
Alpl,1.1175395969922601
Serpina3g,3.0345693886447997
H2-Q8,2.13469963466892
Acta2,-1.9230832998886298
Itgav,-0.887678925174289
Epha2,1.40536130696423
B3galnt2,-1.06304748515714
Il4ra,1.31440514036506
1700112E06Rik,2.3051979500360398
Oas2,2.0722642579057697
Ccl9,1.8538946666090301
Ppp1r12b,-1.04176330969852
Slc6a9,-1.20849729678196
Cyp2e1,3.92846339836923
Ttpa,2.08665230561894
Hrasls,-1.8278134196345601
Gipc2,-1.84247135943975
Il11ra1,-0.9481128503224321
Lair1,1.51222715415111
Cped1,-1.22977748792218
Colec12,-1.03518411510818
Fgf13,-1.42787870292517
Evl,1.14158225905935
Eif3j2,-2.03529918309364
Ift43,-0.9696292750099829
Smad9,-1.2676978503211298
Gprc5b,0.906604993198409
Adcy4,1.00342937191275
Dynlt1b,-0.961307799671117
Trim14,1.53551715166017
H2-DMa,1.56059932821794
Rftn2,-1.34853462587707
Stum,-2.24702850960544
Osmr,0.8544574800802069
Actg2,-1.40402642342828
Itih2,-1.43246133942137
Sned1,1.09009278667008
Rapgef3,0.883009323308475
Robo4,1.39881929564147
Maged2,-1.201953373649
Cdc42ep3,-1.14983273714423
Wls,-0.8534876728170171
Acer2,1.61970916554795
Mrpl38,0.954073119240127
Samd4,-1.25469976604443
Dgkg,-1.5458330639304398
Saa3,5.28137674914647
2310030G06Rik,-2.30249156664774
Ifi30,0.9433878270772851
Tmem176b,1.12234599713491
Lyn,1.33065744535641
Osr1,-1.3470766818098998
Wdr6,-0.9538252216402009
Emcn,0.8364062651757941
Cacna1c,-1.40561633356609
Hist2h2aa1,0.937316524775673
Fitm2,1.3183864494332098
Mbnl1,-0.8733649584133449
Sh2b2,1.33188639158239
Slfn4,2.5631517411061098
Ms4a6c,1.89549025580437
Sema7a,1.6527963393449399
Shisa4,-1.16504196272873
Klhl23,-1.31178452318305
Jph2,-1.53552510009619
Cd14,1.1805257818356298
Aknad1,-1.8317165340515602
Elovl5,1.04598350606331
Extl1,2.38267458564118
C1qc,1.4093719518475902
Ccdc42,-1.7552329074910602
Armcx2,-0.9202277883822919
Tmtc2,-1.0997839851029498
Klhl13,-0.9025166810576379
Nacad,-1.4039670718576003
Col4a3,-1.73734904212475
Itgb1,-0.868888295860548
Slfn8,1.1912943554633
Lix1l,-0.8990522295999879
Mical1,-0.948377394015395
Galnt16,-1.3552171887217799
Plcg2,1.39443780957355
Pi15,-1.5562419250360502
Ccdc149,-0.993758682547577
Fam184b,-2.77957142936645
Cd300lb,1.4290551500826498
Csf3r,2.17107712504744
Kcnip1,-2.6318559968573303
Trim25,1.0826202075040798
Kcna5,2.21585337796405
Fat4,-1.2865701921415902
Cd22,2.69256282645533
Fam84a,-1.9450252508660502
Prr5,1.26285955809402
Xk,-1.40954132920963
Hck,2.03863708935857
Col4a4,-1.19843973910531
Dsp,-1.65195029138416
Dpysl3,-1.4339370952463502
Dzip1,-1.13312185343254
Camk2n1,-0.786195222218382
Tcn2,0.9079166898556601
Fam129a,-1.2127285352885602
Hmbs,0.898481541736231
Kank3,1.39781571512349
Hmgn2,-0.8518398226071391
Esam,0.903144129986327
Slc27a1,1.6083386892951999
Mrvi1,-1.4875300277427501
S100a9,3.80955400510287
Cd300c2,1.53251775843492
Tmem181b-ps,-1.12908495957023
Mycl,3.35963780951561
Gpr182,1.715310298292
Cacna2d1,-1.3573654443533998
Shb,0.933277072127604
Dctn6,-0.7453212854951291
Tulp1,-1.6794435110688701
Ier5,0.9000812690861272
Lman2l,0.923141494779037
Gpat4,1.2330498740237499
Actn1,-1.37446325251638
Serpina3f,3.4561638188516897
AB124611,1.67342019364453
Pou2f2,2.9080090777512
Kcnk3,1.6741258512641102
Faxc,-1.59043156031448
Card10,0.8159963069270021
Rab27b,-1.2839597622323502
Nrep,-1.1816028250058
Pim1,1.37312675947604
Tyro3,-1.50632452460659
Clec4e,3.0572239430116404
Kcnab1,-2.03634689795288
Kcnma1,-1.5573378315976998
Cd300a,0.9076956656136641
Piezo1,1.11873827460341
Abcc4,0.992325139023975
Pbld1,2.09922413337134
Mnda,1.75902863531003
Zmynd15,1.5862147191383302
Cd163,1.3240110237172
Dact3,-1.57433198694159
Nos2,1.2251456334781499
Glcci1,-1.2356787133043998
Ksr1,0.792841663037678
Kcnd3,-1.41630993247125
Ltbp1,-1.5202738470366102
Man1a,1.0774812972735401
Cd68,1.6315876431468002
Ttc3,-0.7734616576614991
Sox18,1.45025550447323
Sema3d,-1.32119403461719
Tet1,-1.95414687593445
Scarb1,1.6726735154653303
Tmem254b,1.06872169262598
Ifi204,1.4216089525025701
Gimap5,1.58120249013812
Ngef,-1.78751757617376
Egln3,1.44631812525487
Prr32,-4.67331369773799
Cd53,1.45279673175116
Ly86,1.26011953686544
Tmem176a,1.52490908511866
Gm5617,1.49972590763632
Ptk2b,1.00648992377937
Lyz2,1.64378262632261
Adora2a,1.30247520762998
Thsd4,-1.71760849778056
Sdf2l1,1.4713786584203001
Haghl,-1.1388850308793002
Tmem173,1.07823712327215
Chst1,2.24631179738164
Rtn4rl2,2.74566992626168
Ncf1,1.8487307510748898
Snx20,1.73476941000076
Slamf7,2.1890368515453704
Enah,-1.6243678147611698
Csf2rb2,2.54950839879863
Notch1,1.11622690463639
Acod1,4.10390271078278
Arhgef9,-0.900407467540717
AI607873,1.72067077249097
Dst,-0.8299186512949571
Oas1a,1.9425866727133199
Nectin2,1.07114947303423
Cpz,-1.5157988049482098
Ccdc141,-1.1586102929097502
Osbpl11,0.813177280186899
Abca7,0.7531231116895319
Myo7a,0.795130927123319
Il22ra2,6.974795289042389
Rin2,-0.7237166713073531
Plxnb1,-1.0713352525935
Rcan2,-1.9893657912853402
Golim4,-0.7548749714030409
Stxbp2,0.960555743045579
Pdgfd,-1.06368779223803
Garem,-1.1875334003100602
Ablim3,1.06447974472272
Gm8580,3.2441494754502798
Eid1,-0.744325505159995
Helz2,1.2394609818412
Nrp2,1.12300560182612
Rassf3,-0.7653865061250781
Asap2,-1.04822817632716
Dio2,2.06328633348966
Shisa5,0.942722515927812
Tlr9,2.58052796004846
Morf4l1,-0.9398253174201671
H2-Aa,1.62586156983681
Rgl3,0.824010801970078
Jak3,1.6813592220953102
Cfp,1.3640008649551898
Cpq,-0.8152761984748009
Ddt,1.28622154203042
Gng8,-1.92338972829969
Rag1,-8.706565897643982
Galnt15,0.9983248156435591
Abcg1,1.98407140354301
Col15a1,-1.2980773295174
Astn2,-1.4862346363377
Wfdc21,3.21478322824781
Endod1,-1.39824155526609
Phldb2,-0.9403801889934741
Slco2b1,0.876561335090654
Fbxo32,-1.2374750571695199
Itgam,1.5734127349286202
Trabd2b,-1.2736227838969498
Cdkn1a,1.8464330851751398
Unc93b1,1.43708082729678
Sdc3,1.2636937124298502
Casc4,-1.3382466040549998
Ly6e,0.8907573688781701
Inpp5d,1.44697684139614
Themis2,1.60406083412658
Foxp2,-1.3151271947973602
Pdzd4,-0.90055409137353
Nfib,-0.77727374684238
Sco2,1.5615445285123601
Abcc3,1.60066667186669
Pcdh1,1.3664813064813701
C1qa,1.4052745670026499
H2-Ab1,1.9856825289973798
Hdc,1.90038147199565
Fam43a,1.04053033990951
Mettl24,-1.48860344870184
Sema3g,1.5476874931434301
Rrad,-1.9598782763436002
Esyt2,-0.861253144114437
Rbm3,-1.13721431257568
March1,1.5630173099841398
Maml2,-1.02839365467202
Id4,-1.20352926636693
Fcgr3,1.2116023539451002
Arhgef5,-0.7570936242263859
